               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092224,            0.037627,            0.035463,             0.10174,             0.21537,            0.057681,            0.015664,            0.076402,            0.026111,            0.027633,             0.00078,             0.00078,             0.09298
                   1,            0.070424,            0.037898,             0.02453,             0.23726,             0.31656,             0.18877,            0.053843,              0.0648,            0.023075,            0.015648,             0.00157,             0.00157,             0.08587
                   2,            0.062242,            0.033243,            0.013924,              0.3288,             0.36938,             0.25152,            0.072245,            0.061035,            0.021745,            0.015413,           0.0023598,           0.0023598,             0.07876
                   3,             0.05778,            0.031249,           0.0097657,             0.46165,             0.43632,             0.40612,             0.14707,             0.05564,             0.02008,           0.0073234,           0.0031494,           0.0031494,            0.071649
                   4,            0.054594,            0.030399,           0.0075891,             0.47855,             0.40753,             0.37646,             0.13261,             0.05379,            0.019928,            0.011523,           0.0039386,           0.0039386,            0.064539
                   5,            0.052291,            0.030165,           0.0068546,             0.46549,             0.37802,              0.3652,             0.13208,            0.054284,            0.021387,           0.0065557,           0.0047274,           0.0047274,            0.057427
                   6,            0.050486,            0.029786,            0.005872,             0.58013,             0.49641,             0.50749,             0.20329,            0.048439,            0.018911,           0.0062425,           0.0055156,           0.0055156,            0.050316
                   7,            0.048296,            0.029603,           0.0058637,             0.48396,             0.39938,             0.39393,             0.14427,            0.051648,            0.020803,           0.0087391,           0.0063032,           0.0063032,            0.043203
                   8,            0.047697,            0.029399,           0.0054214,             0.56872,             0.51166,             0.51516,             0.21689,            0.049394,            0.019542,           0.0060797,             0.00709,             0.00709,             0.03609
                   9,            0.046945,            0.029357,           0.0053782,             0.38296,             0.37578,             0.28249,            0.095253,            0.055551,            0.024487,            0.020383,            0.007876,            0.007876,            0.028976
                  10,            0.046533,            0.029404,           0.0051907,             0.57458,             0.45985,             0.47243,             0.18529,            0.051385,            0.021709,           0.0067341,            0.008661,            0.008661,            0.021861
                  11,            0.046154,            0.029514,           0.0057601,             0.45335,             0.41693,             0.38879,             0.14086,            0.052576,            0.020893,           0.0055681,           0.0094449,           0.0094449,            0.014745
                  12,            0.045837,             0.02915,           0.0056362,             0.36663,             0.32326,             0.27734,            0.099936,            0.054839,            0.022102,            0.014099,           0.0099685,           0.0099685,           0.0099685
                  13,            0.046088,            0.029997,           0.0057829,             0.53747,             0.52196,             0.51253,             0.19765,            0.048474,            0.020588,           0.0044239,           0.0099685,           0.0099685,           0.0099685
                  14,            0.044078,             0.02851,           0.0042047,              0.5466,             0.52025,             0.52144,             0.19961,            0.048296,            0.020647,           0.0040222,            0.009963,            0.009963,            0.009963
                  15,             0.04285,            0.027816,           0.0046118,             0.61453,             0.61937,             0.63173,             0.25851,            0.045557,            0.018491,           0.0031253,           0.0099571,           0.0099571,           0.0099571
                  16,             0.04141,             0.02722,           0.0038098,             0.67894,              0.5937,             0.63909,             0.25922,            0.045117,            0.018616,           0.0049359,           0.0099508,           0.0099508,           0.0099508
                  17,            0.041106,            0.027163,           0.0035864,             0.58406,             0.62727,             0.61223,             0.26162,            0.044416,            0.018058,           0.0045897,            0.009944,            0.009944,            0.009944
                  18,            0.039867,            0.026148,           0.0032865,             0.69806,             0.59889,             0.65025,             0.28518,            0.045729,            0.020322,           0.0048961,           0.0099368,           0.0099368,           0.0099368
                  19,            0.038895,             0.02599,           0.0029151,              0.7657,             0.70123,             0.77122,             0.36634,            0.040846,            0.016675,           0.0015548,           0.0099291,           0.0099291,           0.0099291
                  20,            0.037976,            0.025496,           0.0026748,             0.73015,             0.79392,             0.80813,             0.41211,            0.038661,             0.01552,           0.0012758,           0.0099211,           0.0099211,           0.0099211
                  21,            0.037524,            0.024654,           0.0024021,             0.79877,             0.72222,             0.79726,             0.39356,            0.038967,            0.016053,           0.0020249,           0.0099126,           0.0099126,           0.0099126
                  22,            0.037001,            0.024499,           0.0024017,             0.80349,             0.76462,              0.8314,             0.42367,            0.037966,            0.015524,           0.0013862,           0.0099037,           0.0099037,           0.0099037
                  23,            0.036669,            0.024334,            0.002329,             0.73263,             0.73978,             0.77931,             0.39667,            0.037934,            0.015367,           0.0028369,           0.0098943,           0.0098943,           0.0098943
                  24,            0.035995,            0.024269,           0.0024929,              0.7851,             0.77246,             0.83294,             0.43306,            0.036743,             0.01518,           0.0012058,           0.0098845,           0.0098845,           0.0098845
                  25,            0.035373,            0.023698,           0.0023705,             0.78346,              0.6896,             0.77117,             0.39768,            0.038435,            0.016464,           0.0020563,           0.0098743,           0.0098743,           0.0098743
                  26,            0.034842,            0.023052,           0.0021027,             0.79285,             0.78239,              0.8501,             0.45762,            0.035305,            0.014519,          0.00063984,           0.0098637,           0.0098637,           0.0098637
                  27,            0.034414,             0.02294,           0.0019714,             0.83981,              0.8315,             0.89149,             0.48834,            0.034276,            0.014013,          0.00080869,           0.0098527,           0.0098527,           0.0098527
